code,context,function,category,severity,cwe,language,project_type,is_vulnerable,source
"exec(f""from transformers import {cls}"")","    pip_install(""git+https://github.com/huggingface/transformers.git#egg=transformers"")
finally:
    for cls in imports:
        exec(f""from transformers import {cls}"")


# These models contain the models present in huggingface_models_list. It is a",exec,Code Execution,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"exec(f""from transformers import {cls}"")","    pip_install(""git+https://github.com/huggingface/transformers.git#egg=transformers"")
finally:
    for cls in imports:
        exec(f""from transformers import {cls}"")


# These models contain the models present in huggingface_models_list. It is a",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
model.eval(),"        ):
            model.train()
        else:
            model.eval()

        self.validate_model(model, example_inputs)
        return device, model_name, model, example_inputs, batch_size",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"mod = importlib.import_module(""transformers"")","

try:
    mod = importlib.import_module(""transformers"")
    for cls in imports:
        if not hasattr(mod, cls):
            raise ModuleNotFoundError",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
module = importlib.import_module(module_name),"        ""TrOCRDecoder"": ""transformers.models.trocr.modeling_trocr"",
    }
    module_name = _module_by_model_name.get(model_cls_name, ""transformers"")
    module = importlib.import_module(module_name)
    return getattr(module, model_cls_name)

",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
model.eval(),"    def get_model_and_inputs(model_name, device):
        tokenizer = AutoTokenizer.from_pretrained(model_name)
        model = AutoModelForCausalLM.from_pretrained(model_name, device_map=device)
        model.eval()

        model.generation_config.do_sample = False
        model.generation_config.use_cache = True",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
model.eval(),"        if is_training and not use_eval_mode:
            model.train()
        else:
            model.eval()

        self.validate_model(model, example_inputs)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"importlib.import_module(""timm"")","

try:
    importlib.import_module(""timm"")
except ModuleNotFoundError:
    print(""Installing PyTorch Image Models..."")
    pip_install(""git+https://github.com/rwightman/pytorch-image-models"")",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
module = importlib.import_module(,"def get_model(args):
    if args.torchbench_model:
        setup_torchbench_cwd()
        module = importlib.import_module(
            f""torchbenchmark.models.{args.torchbench_model}""
        )
        benchmark_cls = getattr(module, ""Model"", None)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"compiled_mod = torch.compile(mod, dynamic=False)","
            flops = mode.get_total_flops()

            compiled_mod = torch.compile(mod, dynamic=False)

            for _ in range(WARMUP_ITER):
                compiled_mod(x)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"compiled_mod = torch.compile(mod, dynamic=False)","
            x = torch.randn(BS, D, device=device, dtype=dtype)

            compiled_mod = torch.compile(mod, dynamic=False)

            for _ in range(WARMUP_ITER):
                compiled_mod(x)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"compiled_fn = torch.compile(gather_gemv, dynamic=False)","            x = torch.randn(D, device=device, dtype=torch.bfloat16)
            score_idxs = torch.tensor([3, 5], device=device)

            compiled_fn = torch.compile(gather_gemv, dynamic=False)

            for _ in range(WARMUP_ITER):
                compiled_fn(W, score_idxs, x)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"compiled_fn = torch.compile(gemv, dynamic=False)","            W = torch.randn(D, D, device=device).to(dtype=dtype)
            x = torch.randn(D, device=device, dtype=torch.bfloat16)

            compiled_fn = torch.compile(gemv, dynamic=False)

            for _ in range(WARMUP_ITER):
                compiled_fn(W, x)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
return model.eval(),"            requires_grad=v.requires_grad,
        )
    model.load_state_dict(state_dict, assign=True)
    return model.eval()


# Only count activated parameters and buffers.",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
decode_one_token = torch.compile(,"    global decode_one_token, prefill, compiled
    if not compiled:
        compiled = True
        decode_one_token = torch.compile(
            decode_one_token, mode=""reduce-overhead"", fullgraph=True
        )
        prefill = torch.compile(prefill, fullgraph=True)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"prefill = torch.compile(prefill, fullgraph=True)","        decode_one_token = torch.compile(
            decode_one_token, mode=""reduce-overhead"", fullgraph=True
        )
        prefill = torch.compile(prefill, fullgraph=True)

    for i in range(start, num_samples):
        device_sync(device=device)  # MKG",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
model.eval(),"
        replace_all_batch_norm_modules_(model)
        # disable dropout for consistency checking
        model.eval()

    model.to(device)
    params, names = extract_weights(model)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
model.eval(),"
    if has_functorch:
        # disable dropout for consistency checking
        model.eval()

    criterion = nn.NLLLoss()
    params, names = extract_weights(model)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
compiled_op = torch.compile(,"    for config in group_config.experiments:
        torch._dynamo.reset()
        torch._inductor.utils.clear_caches()
        compiled_op = torch.compile(
            op,
            options=config.to_options(),
        )",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
compiled_forward_consume = torch.compile(,"
    def _generate_compile_forward_graph(self):
        """"""generate a compiled graph for the forward function via torch.compile""""""
        compiled_forward_consume = torch.compile(
            self.op_bench.forward_consume_eager, backend=""inductor""
        )
        return compiled_forward_consume",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
state_dict = torch.load(,"
        # Load pretrained weights
        start_load_time = time.time()
        state_dict = torch.load(
            f""{self.model_dir}/resnet18-f37072fd.pth"",
            mmap=True,
            map_location=self.device,",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:PyTorch Core
m.eval(),"        )
        self.metrics_dict[""torch_load_time""] = time.time() - start_load_time
        m.load_state_dict(state_dict, assign=True)
        m.eval()

        if self.compile_model:
            start_compile_time = time.time()",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
m.compile(),"
        if self.compile_model:
            start_compile_time = time.time()
            m.compile()
            end_compile_time = time.time()
            self.metrics_dict[""m_compile_time""] = end_compile_time - start_compile_time
        return m",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
compiled_cross_entropy = torch.compile(,"
        # Need `lambda` otherwise torch.compile will not trace the function.
        # More discussion: https://github.com/pytorch/pytorch/issues/158455
        compiled_cross_entropy = torch.compile(
            lambda x, target: F.cross_entropy(x, target, reduction=""none""),
            mode=self.compile_mode,
            fullgraph=True,",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
compiled_cross_entropy = torch.compile(,"        assert kwargs is None
        x, target, dloss = args

        compiled_cross_entropy = torch.compile(
            lambda x, target: F.cross_entropy(x, target, reduction=""none""),
            mode=self.compile_mode,
            fullgraph=True,",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
compiled_softmax = torch.compile(,"        # Mark batch size as dynamic for realistic workload
        torch._dynamo.mark_dynamic(x, 0)

        compiled_softmax = torch.compile(
            lambda x: F.softmax(x, dim=-1), mode=self.compile_mode, fullgraph=True
        )
        return lambda: compiled_softmax(x)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
compiled_softmax = torch.compile(,"    def compiled(self, args, kwargs=None) -> Any:
        assert kwargs is None
        x, dy = args
        compiled_softmax = torch.compile(
            lambda x: F.softmax(x, dim=-1), mode=self.compile_mode, fullgraph=True
        )
        y = compiled_softmax(x)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
compiled_rms_norm = torch.compile(,"        # Mark batch size as dynamic for realistic workload
        torch._dynamo.mark_dynamic(x, 0)

        compiled_rms_norm = torch.compile(
            self.rms_norm_ref, mode=self.compile_mode, fullgraph=True
        )
        return lambda: compiled_rms_norm(x, w)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"y = torch.compile(self.rms_norm_ref, mode=self.compile_mode, fullgraph=True)(","    def compiled(self, args, kwargs=None) -> Any:
        assert kwargs is None
        x, w, dy = args
        y = torch.compile(self.rms_norm_ref, mode=self.compile_mode, fullgraph=True)(
            x, w
        )
        return lambda: torch.autograd.grad(",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
compiled_layernorm = torch.compile(,"        # Mark batch size as dynamic for realistic workload
        torch._dynamo.mark_dynamic(x, 0)

        compiled_layernorm = torch.compile(
            self.layernorm_ref, mode=self.compile_mode, fullgraph=True
        )
        return lambda: compiled_layernorm(x, w, eps=1e-6)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
compiled_layernorm = torch.compile(,"    def compiled(self, args, kwargs=None) -> Any:
        assert kwargs is None
        x, w, dy = args
        compiled_layernorm = torch.compile(
            self.layernorm_ref, mode=self.compile_mode, fullgraph=True
        )
        y = compiled_layernorm(x, w)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"bench(""compiled"", torch.compile(add1), False)","def main():
    print(""requires_grad=False"")
    bench(""eager   "", add1, False)
    bench(""compiled"", torch.compile(add1), False)
    print()
    print(""requires_grad=True"")
    bench(""eager   "", add1, True)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"bench(""compiled"", torch.compile(add1), True)","    print()
    print(""requires_grad=True"")
    bench(""eager   "", add1, True)
    bench(""compiled"", torch.compile(add1), True)
    print()
    print(""inference_mode()"")
    with torch.inference_mode():",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"bench(""compiled"", torch.compile(add1), False)","    print(""inference_mode()"")
    with torch.inference_mode():
        bench(""eager   "", add1, False)
        bench(""compiled"", torch.compile(add1), False)


if __name__ == ""__main__"":",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"exec(fn_str, globals())","    return x0 + n
""""""

exec(fn_str, globals())
torch._dynamo.config.recompile_limit = 16

",exec,Code Execution,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"exec(fn_str, globals())","    return x0 + n
""""""

exec(fn_str, globals())
torch._dynamo.config.recompile_limit = 16

",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"bench(""compiled"", torch.compile(foo, dynamic=False))  # type: ignore[F821]","

def main():
    bench(""compiled"", torch.compile(foo, dynamic=False))  # type: ignore[F821]


if __name__ == ""__main__"":",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"@torch.compile(backend=""eager"", fullgraph=True)","import torch


@torch.compile(backend=""eager"", fullgraph=True)
def symbolic_convert_overhead_stress_test(x, y, n):
    while n > 0:
        n -= 1",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
ops = [eval(op)],"    if op == ""all"":
        ops = loader.get_all_ops()
    else:
        ops = [eval(op)]

    max_samples = max_samples + start_idx
    profile_enabled = profile",eval,Code Execution,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
ops = [eval(op)],"    if op == ""all"":
        ops = loader.get_all_ops()
    else:
        ops = [eval(op)]

    max_samples = max_samples + start_idx
    profile_enabled = profile",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"compiled_fn = torch.compile(huge_graph, backend=""inductor"")","
    with fresh_cache():
        a = torch.randn(4).cuda()
        compiled_fn = torch.compile(huge_graph, backend=""inductor"")

        # write to cache
        compiled_fn(a)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"return eval(inps.strip().strip(""'"").strip('""'), global_vals)","    # f strings introduce quotations we dont want
    for key in dtype_abbrs_parsing:
        inps = inps.replace(f""'{key}'"", key)
    return eval(inps.strip().strip(""'"").strip('""'), global_vals)


class OperatorInputsLoader:",eval,Code Execution,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"cnt = eval(line[len(""cnt: "") : line.find("","")])","            i += 1
            while i < len(lines) and ""Operator: "" not in lines[i]:
                line = lines[i]
                cnt = eval(line[len(""cnt: "") : line.find("","")])
                inps = line[line.find("","") + 2 :].strip(""'"")
                op_inps[inps] += cnt
                i += 1",eval,Code Execution,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
op = eval(key),"    def get_all_ops(self):
        for key in self.operator_db.keys():
            try:
                op = eval(key)
            except AttributeError as ae:
                log.warning(""Evaluating an op name into an OpOverload: %s"", ae)
                continue",eval,Code Execution,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
if skip_non_compute_operators and non_compute_operator(eval(operator)):,"        sorted_operators = sorted(self.func_db.keys())
        with open(output_filename, ""w"") as f:
            for operator in sorted_operators:
                if skip_non_compute_operators and non_compute_operator(eval(operator)):
                    continue
                f.write(f""Operator: {operator}\n"")
                operator_inputs = self.func_db[operator]",eval,Code Execution,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
if skip_non_compute_operators and non_compute_operator(eval(operator)):,"        sorted_operators = sorted(self.func_db.keys())
        with open(output_filename, ""w"") as f:
            for operator in sorted_operators:
                if skip_non_compute_operators and non_compute_operator(eval(operator)):
                    continue
                f.write(f""Operator: {operator}\n"")
                operator_inputs = self.func_db[operator]",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"return eval(inps.strip().strip(""'"").strip('""'), global_vals)","    # f strings introduce quotations we dont want
    for key in dtype_abbrs_parsing:
        inps = inps.replace(f""'{key}'"", key)
    return eval(inps.strip().strip(""'"").strip('""'), global_vals)


class OperatorInputsLoader:",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"cnt = eval(line[len(""cnt: "") : line.find("","")])","            i += 1
            while i < len(lines) and ""Operator: "" not in lines[i]:
                line = lines[i]
                cnt = eval(line[len(""cnt: "") : line.find("","")])
                inps = line[line.find("","") + 2 :].strip(""'"")
                op_inps[inps] += cnt
                i += 1",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
op = eval(key),"    def get_all_ops(self):
        for key in self.operator_db.keys():
            try:
                op = eval(key)
            except AttributeError as ae:
                log.warning(""Evaluating an op name into an OpOverload: %s"", ae)
                continue",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"opt_m = torch.compile(backend=self.backend(), dynamic=self.is_dynamic())(","            fresh_cache(),
            torch._inductor.config.patch(force_shape_pad=self._force_shape_pad),
        ):
            opt_m = torch.compile(backend=self.backend(), dynamic=self.is_dynamic())(
                self.m.cuda() if self._is_gpu else self.m
            )
            opt_m(self.input)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
@torch.compile(,"        torch._dynamo.reset()
        self.a = torch.ones(2, device=self.device(), requires_grad=self._requires_grad)

        @torch.compile(
            backend=self.backend(),
            fullgraph=True,
            dynamic=self.is_dynamic(),",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"@torch.compile(backend=self.backend(), fullgraph=True)","        torch._dynamo.reset()

    def _work(self):
        @torch.compile(backend=self.backend(), fullgraph=True)
        def f(x):
            tmps = [x + i for i in range(16)]
            tmps = [x + tmp for tmp in tmps]",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
@torch.compile(fullgraph=True),"        torch._dynamo.reset()

    def _work(self):
        @torch.compile(fullgraph=True)
        def f(a, b):
            xs = b.tolist()
            for x in xs:",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"@torch.compile(backend=self.backend(), fullgraph=True)","        torch._dynamo.reset()

    def _work(self):
        @torch.compile(backend=self.backend(), fullgraph=True)
        def f(inp, *weights):
            x = inp
            for w in weights:",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"opt_m = torch.compile(backend=self.backend(), dynamic=self.is_dynamic())(","        with (
            fresh_cache(),
        ):
            opt_m = torch.compile(backend=self.backend(), dynamic=self.is_dynamic())(
                self.m.cuda() if self._is_gpu else self.m
            )
            opt_m(self.input)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
@torch.compile(,"        torch._dynamo.reset()

    def _work(self) -> None:
        @torch.compile(
            backend=""inductor"",
            fullgraph=True,
            dynamic=self._dynamic,",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"@torch.compile(backend=""inductor"")","        torch._dynamo.reset()

    def _work(self):
        @torch.compile(backend=""inductor"")
        def f(x, y):
            return x + y
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"@torch.compile(backend=self.backend(), fullgraph=True)","        torch._dynamo.reset()

    def _work(self):
        @torch.compile(backend=self.backend(), fullgraph=True)
        def f(*args):
            outs = [torch.add(x, x) for x in args]
            return outs",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"opt_m = torch.compile(backend=self.backend(), dynamic=self.is_dynamic())(","        with (
            fresh_cache(),
        ):
            opt_m = torch.compile(backend=self.backend(), dynamic=self.is_dynamic())(
                self.m.cuda() if self._is_gpu else self.m
            )
            opt_m(self.input)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
@torch.compile(,"        torch._dynamo.reset()

    def _work(self):
        @torch.compile(
            backend=self.backend(),
            fullgraph=True,
            dynamic=self.is_dynamic(),",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
@torch.compile(fullgraph=True),"        torch._dynamo.reset()

    def _work(self):
        @torch.compile(fullgraph=True)
        def f(a):
            xs = a.tolist()
            y = 0",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
proc = subprocess.run(,"
        for source_cmd in source_cmds or {""""}:
            cmd = f'{source_cmd}{PYTHON_CMD} -c ""import torch""'
            proc = subprocess.run(
                cmd,
                shell=True,
                stdout=subprocess.PIPE,",subprocess.run,Command Injection,MEDIUM,CWE-78,Python,ML/AI,1,ML/AI:PyTorch Core
proc = subprocess.run(,"
        for source_cmd in source_cmds or {""""}:
            cmd = f'{source_cmd}{PYTHON_CMD} -c ""import torch""'
            proc = subprocess.run(
                cmd,
                shell=True,
                stdout=subprocess.PIPE,",command_injection,ML-command_injection,HIGH,CWE-78,Python,ML/AI,1,ML/AI:PyTorch Core
"shell=True,","            cmd = f'{source_cmd}{PYTHON_CMD} -c ""import torch""'
            proc = subprocess.run(
                cmd,
                shell=True,
                stdout=subprocess.PIPE,
                stderr=subprocess.STDOUT,
                encoding=""utf-8"",",command_injection,ML-command_injection,HIGH,CWE-78,Python,ML/AI,1,ML/AI:PyTorch Core
"shell=True,","            self.cmd,
            stdout=subprocess.PIPE,
            stderr=subprocess.STDOUT,
            shell=True,
            executable=SHELL,
        )
",command_injection,ML-command_injection,HIGH,CWE-78,Python,ML/AI,1,ML/AI:PyTorch Core
return torch.compile(,"                else:
                    backend = ""eager""

                return torch.compile(
                    _invoke_subgraph_placeholder_wrapper,
                    backend=backend,
                    fullgraph=True,",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
self.joint_gm.compile(),"                ph.name = f""tangents_{i - self.n_primals}""

        self.joint_gm.graph.lint()
        self.joint_gm.compile()

    def _remove_redundant_sym_size_ops(self) -> None:
        """"""",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
return torch.compile(,"                    )
                else:
                    backend = ""eager""
                return torch.compile(
                    _while_loop_op_wrapper, backend=backend, fullgraph=True
                )(flat_cond_fn, flat_body_fn, tuple(flat_inputs), tuple())
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"@torch.compile(backend=""aot_eager"")","        return x.sin().cos()


    @torch.compile(backend=""aot_eager"")
    def f(x):
        return invoke_quant(g, x, scheme=""nf4"")
    ```",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
return torch.compile(,"                else:
                    backend = ""eager""
                with torch._dynamo.utils.disable_cache_limit():
                    return torch.compile(
                        strict_mode_op, backend=backend, fullgraph=True
                    )(callable, operands)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"return torch.compile(_cond_op_wrapper, backend=backend, fullgraph=True)(","    from torch._higher_order_ops.utils import setup_compilation_env

    with setup_compilation_env() as backend:
        return torch.compile(_cond_op_wrapper, backend=backend, fullgraph=True)(
            pred, true_fn, false_fn, operands
        )
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"return torch.compile(fn, backend=backend, fullgraph=True)(*args)","def _maybe_compile_and_run_fn(fn, *args):
    if not torch.compiler.is_dynamo_compiling():
        with setup_compilation_env() as backend:  # type: ignore[attr-defined]
            return torch.compile(fn, backend=backend, fullgraph=True)(*args)
    else:
        return fn(*args)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
#      lifted args because it's on the path of torch.compile(dynamic=True).,"# For dynamoed hops, we automatically lift the free symbols in tensors as arguments.
# This has implications for the types of lifted args for different dispatch keys:
#   1. functionalization, FakeTensorMode, ProxyTorchDispatchMode, Autograd need to support torch.Symint
#      lifted args because it's on the path of torch.compile(dynamic=True).
#   2. functionalization, FakeTensorMode, ProxyTorchDispatchMode, Autograd, CompositeExplicitAutograd need
#      to support int arguments. In the eager run case, we re-trace the subgraph in AutogradKey, so inner
#      hops may receive int inputs from the shape of outer tensor inputs.",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"exec(code, namespace)","            grid,
        )
        namespace: dict[str, Any] = {}
        exec(code, namespace)
        grid_fn = namespace[fn_name]

    if tma_descriptor_metadata:",exec,Code Execution,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"exec(code, namespace)","            grid,
        )
        namespace: dict[str, Any] = {}
        exec(code, namespace)
        grid_fn = namespace[fn_name]

    if tma_descriptor_metadata:",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"return re.compile(r""((\+|-)?[\w\.]+,\s*)*(\+|-)?[\w\.]+?"")","
# match a comma separated list of loggable names (whitespace allowed after commas)
def _gen_settings_regex():
    return re.compile(r""((\+|-)?[\w\.]+,\s*)*(\+|-)?[\w\.]+?"")


def _validate_settings(settings):",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
inputs_meta = pickle.load(f),"    """"""
    inputs = []
    with open(input_data_path, ""rb"") as f:
        inputs_meta = pickle.load(f)
        inputs = []
        for meta in inputs_meta:
            if len(meta) == 1:",pickle.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:PyTorch Core
f = torch.jit.freeze(f.eval()),"
        torch._C._jit_pass_remove_mutation(f.graph)

        f = torch.jit.freeze(f.eval())
        f = torch.jit.optimize_for_inference(f)
        if not any(isinstance(t, torch._subclasses.FakeTensor) for t in inps):
            f(*inps)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
f = torch.jit.freeze(f.eval()),"def simple_ts_compile(fx_g, _):
    strip_overloads(fx_g)
    f = torch.jit.script(fx_g)
    f = torch.jit.freeze(f.eval())
    return f

",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
return importlib.import_module(,"                # Use slow decomp whose backward will be in terms of index_put
                # importlib is required because the import cannot be top level
                # (cycle) and cannot be nested (TS doesn't support)
                return importlib.import_module(
                    ""torch._decomp.decompositions""
                )._upsample_linear_vec(input, output_size, align_corners, scale_factors)
        return torch._C._nn.upsample_bilinear2d(",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
return importlib.import_module(,"                # Use slow decomp whose backward will be in terms of index_put
                # importlib is required because the import cannot be top level
                # (cycle) and cannot be nested (TS doesn't support)
                return importlib.import_module(
                    ""torch._decomp.decompositions""
                )._upsample_linear_vec(input, output_size, align_corners, scale_factors)
        return torch._C._nn.upsample_trilinear3d(",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
return importlib.import_module(,"                # Use slow decomp whose backward will be in terms of index_put.
                # importlib is required because the import cannot be top level
                # (cycle) and cannot be nested (TS doesn't support)
                return importlib.import_module(
                    ""torch._decomp.decompositions""
                )._replication_pad(input, pad)
    return torch._C._nn.pad(input, pad, mode, value)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
@torch.compile(fullgraph=True),"        return y


    @torch.compile(fullgraph=True)
    def all_reduce_wait_compiled(y):
        torch.ops.c10d_functional.wait_tensor(y)
        return y * y",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
# Note that this should be orthogonal to torch.compile(). But whether,"                # `unset_fake_temporarily()` will allow us to materialize the tensors
                # within `_mesh_resources`, which should not affect modling.
                #
                # Note that this should be orthogonal to torch.compile(). But whether
                # we can compile device_mesh `slicing` (no graph break) is not verified
                # yet and need a follow-up,
                # TODO: compiler + device_mesh slicing.",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
`model.eval()` in addition to using this context manager.,"        `inference_mode` does NOT automatically set the model to evaluation mode.
        For proper inference behavior (e.g., disabling dropout, using running statistics
        in batch normalization), you must explicitly set your model to evaluation mode using
        `model.eval()` in addition to using this context manager.

    Args:
        mode (bool or function): Either a boolean flag to enable or disable",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
"exec(compile(src, key, ""exec""), globals)","
def _exec_with_source(src: str, globals: dict[str, Any], co_fields=None):
    key = _loader.cache(src, globals, co_fields)
    exec(compile(src, key, ""exec""), globals)


def _forward_from_src(src: str, globals: dict[str, Any], co_fields=None):",exec,Code Execution,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:PyTorch Core
